,index,FTHG,FTAG,HTHG,HTAG,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,HomeWinRate,AwayWinRate,isWin
28,28,2.75,2.0,1.25,1.0,16.5,19.75,5.0,7.75,16.0,14.0,5.75,9.25,1.5,1.5,0.0,0.0,1.0,0.5,0.0
29,29,0.5,0.5,0.25,0.0,7.5,7.75,1.25,2.0,21.0,13.75,2.25,3.0,2.25,1.75,0.0,0.0,0.25,0.25,0.0
30,30,1.75,1.0,0.25,0.5,12.75,9.25,5.5,3.0,13.75,17.75,4.5,5.5,1.5,1.25,0.0,0.0,0.5,0.25,1.0
31,31,0.25,1.0,0.0,0.75,14.0,17.5,3.25,7.75,15.25,17.0,4.75,6.0,2.0,1.25,0.0,0.0,0.0,0.25,0.0
32,32,1.5,1.75,0.5,0.75,12.5,12.0,4.25,5.5,16.5,14.25,7.5,4.75,1.25,2.25,0.0,0.25,0.25,0.25,0.0
33,33,2.5,1.5,1.5,0.75,10.75,12.25,4.0,4.75,17.25,14.5,3.75,6.0,1.75,1.75,0.25,0.0,0.5,0.5,1.0
34,34,1.25,1.25,0.75,0.5,9.75,10.75,3.5,4.75,14.0,18.75,4.5,5.5,2.5,2.25,0.0,0.25,0.25,0.25,0.0
35,35,0.75,1.75,0.25,0.5,10.0,11.5,3.5,5.5,14.0,13.25,6.0,4.0,0.75,2.25,0.5,0.5,0.0,0.25,0.0
36,36,0.8,2.0,0.4,0.4,8.2,13.4,2.6,6.2,14.0,13.0,2.8,5.0,1.8,1.6,0.0,0.0,0.4,0.6,0.0
37,37,2.2,1.4,1.2,0.8,17.6,9.6,7.6,3.6,14.2,13.6,8.2,4.4,1.4,2.4,0.0,0.2,0.4,0.2,1.0
38,38,1.4,2.8,0.8,1.6,12.2,10.0,4.6,4.0,18.8,16.8,5.4,4.0,2.0,2.0,0.2,0.2,0.2,0.6,1.0
39,39,2.0,0.4,0.6,0.0,12.4,13.4,6.4,3.8,13.6,14.0,4.2,4.4,2.2,1.8,0.4,0.0,0.4,0.0,0.0
40,40,1.4,0.4,1.2,0.2,16.4,8.2,7.4,1.6,17.0,21.2,5.2,2.6,1.6,2.2,0.0,0.0,0.4,0.2,1.0
41,41,1.4,0.6,0.6,0.2,11.0,9.6,4.2,3.4,15.4,14.8,6.0,5.6,1.8,1.0,0.0,0.4,0.4,0.0,0.0
42,42,1.8,3.4,0.6,1.4,10.6,18.8,5.0,9.8,16.2,14.2,4.2,6.4,2.6,1.0,0.2,0.0,0.4,1.0,0.0
43,43,2.8,1.4,1.0,0.6,16.0,13.6,5.0,4.8,15.4,16.2,5.8,7.4,1.6,1.4,0.0,0.0,0.8,0.2,1.0
44,44,0.4,0.8,0.2,0.4,9.0,9.4,2.8,3.0,22.0,16.4,3.6,5.0,1.0,1.4,0.2,0.0,0.2,0.2,0.0
45,45,0.3333333333333333,1.5,0.0,0.5,12.0,10.166666666666666,3.5,4.5,14.333333333333334,15.833333333333334,4.0,3.8333333333333335,1.6666666666666667,2.5,0.0,0.1666666666666666,0.0,0.3333333333333333,1.0
