,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,HomeWinRate,AwayWinRate,isWin
32,22/09/2018,Schalke 04,Bayern Munich,0.6666666666666666,3.0,A,0.0,1.3333333333333333,13.333333333333334,18.0,4.666666666666667,5.333333333333333,13.0,3.6666666666666665,5.666666666666667,9.333333333333334,2.6666666666666665,0.3333333333333333,0.6666666666666666,0.0,0.0,1.0,0.0
33,22/09/2018,Wolfsburg,Freiburg,2.3333333333333335,1.3333333333333333,A,0.6666666666666666,0.6666666666666666,12.666666666666666,14.333333333333334,6.0,5.0,13.0,11.333333333333334,5.666666666666667,5.0,3.0,2.0,0.0,0.3333333333333333,0.6666666666666666,0.0,0.0
34,23/09/2018,Ein Frankfurt,RB Leipzig,1.3333333333333333,1.6666666666666667,D,0.3333333333333333,1.0,6.666666666666667,16.0,1.6666666666666667,6.666666666666667,9.666666666666666,11.333333333333334,4.333333333333333,5.333333333333333,1.3333333333333333,2.3333333333333335,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.0
35,23/09/2018,Leverkusen,Mainz,0.6666666666666666,1.3333333333333333,H,0.6666666666666666,0.3333333333333333,10.666666666666666,12.0,2.3333333333333335,3.6666666666666665,11.666666666666666,11.666666666666666,3.6666666666666665,4.0,2.0,1.3333333333333333,0.3333333333333333,0.0,0.0,0.6666666666666666,1.0
36,25/09/2018,Bayern Munich,Augsburg,2.75,1.5,D,1.25,0.5,17.0,16.5,5.75,6.25,5.5,12.0,9.0,6.25,0.5,1.25,0.0,0.0,1.0,0.25,0.0
37,25/09/2018,Freiburg,Schalke 04,1.75,0.5,H,1.0,0.0,13.75,12.5,5.75,4.0,12.75,12.75,5.5,4.25,2.25,2.5,0.25,0.5,0.25,0.0,1.0
38,25/09/2018,Hannover,Hoffenheim,0.75,1.5,A,0.25,0.25,11.25,15.75,3.75,5.5,9.0,16.25,5.5,5.25,1.25,2.25,0.25,0.0,0.0,0.25,0.0
39,25/09/2018,Werder Bremen,Hertha,1.75,2.25,H,1.0,1.0,13.0,10.0,4.5,4.5,11.0,12.5,3.75,4.5,1.5,1.75,0.0,0.0,0.5,0.75,1.0
40,26/09/2018,Dortmund,Nurnberg,2.0,1.0,H,1.0,0.0,9.0,14.0,4.0,3.75,8.5,10.25,4.75,6.25,0.75,1.75,0.25,0.0,0.5,0.25,1.0
41,26/09/2018,Fortuna Dusseldorf,Leverkusen,1.0,0.75,A,0.5,0.5,12.5,12.5,6.0,3.0,13.75,11.75,4.75,4.5,2.0,2.0,0.0,0.25,0.25,0.25,0.0
42,26/09/2018,Mainz,Wolfsburg,1.0,2.0,D,0.25,0.5,12.0,13.75,4.0,6.75,12.0,12.75,4.0,6.0,1.5,2.25,0.0,0.0,0.5,0.5,0.0
43,26/09/2018,M'gladbach,Ein Frankfurt,1.75,1.25,H,0.5,0.5,14.0,7.0,4.25,2.5,10.0,10.75,6.5,4.25,1.25,1.25,0.0,0.25,0.5,0.25,1.0
44,26/09/2018,RB Leipzig,Stuttgart,1.5,0.75,H,0.75,0.25,14.25,9.25,5.5,2.5,10.5,7.0,4.5,3.25,2.0,1.5,0.0,0.0,0.25,0.0,1.0
45,28/09/2018,Hertha,Bayern Munich,2.0,2.4,H,0.8,1.0,10.4,16.8,4.0,6.2,11.8,5.6,4.2,8.8,2.0,1.0,0.0,0.0,0.6,0.8,1.0
46,29/09/2018,Hoffenheim,RB Leipzig,1.8,1.6,A,0.4,0.8,16.0,15.0,6.2,6.0,15.6,10.6,5.2,4.4,2.2,2.0,0.0,0.0,0.4,0.4,0.0
47,29/09/2018,Leverkusen,Dortmund,1.0,3.0,A,0.4,1.2,11.2,11.0,3.0,5.2,11.8,8.0,4.6,4.6,2.0,0.6,0.2,0.2,0.4,0.6,0.0
48,29/09/2018,Nurnberg,Fortuna Dusseldorf,0.8,1.0,H,0.0,0.4,12.0,13.2,3.2,5.6,10.2,12.2,6.0,5.2,1.8,2.0,0.0,0.0,0.2,0.2,1.0
49,29/09/2018,Schalke 04,Mainz,0.4,0.8,H,0.0,0.2,13.0,11.8,3.8,3.6,12.4,12.2,4.0,4.2,2.8,1.4,0.4,0.0,0.0,0.4,1.0
50,29/09/2018,Stuttgart,Werder Bremen,0.6,2.0,H,0.2,1.2,9.2,13.2,2.0,4.8,7.2,11.4,3.0,3.4,1.8,1.4,0.0,0.0,0.0,0.6,1.0
51,29/09/2018,Wolfsburg,M'gladbach,1.6,2.0,D,0.4,0.4,13.4,15.4,6.2,5.2,13.2,9.4,7.0,7.0,2.2,1.0,0.0,0.0,0.4,0.6,0.0
52,30/09/2018,Augsburg,Freiburg,1.4,1.6,H,0.4,0.8,15.6,14.0,5.8,5.4,12.6,12.6,5.8,5.0,1.4,2.2,0.0,0.2,0.2,0.4,1.0
53,30/09/2018,Ein Frankfurt,Hannover,1.2,0.8,H,0.4,0.2,8.0,12.4,2.4,4.6,10.8,9.6,4.6,6.0,1.0,1.4,0.2,0.2,0.2,0.0,1.0
54,05/10/2018,Werder Bremen,Wolfsburg,1.8333333333333333,1.6666666666666667,H,1.0,0.5,13.333333333333334,13.333333333333334,4.5,5.666666666666667,11.833333333333334,12.0,4.166666666666667,6.833333333333333,1.8333333333333333,2.1666666666666665,0.16666666666666666,0.0,0.5,0.3333333333333333,1.0
55,06/10/2018,Bayern Munich,M'gladbach,2.0,2.0,A,0.8333333333333334,0.5,18.166666666666668,14.5,6.0,4.833333333333333,6.333333333333333,10.166666666666666,9.666666666666666,6.333333333333333,1.0,1.1666666666666667,0.0,0.0,0.6666666666666666,0.5,0.0
